feature,importance
daily_pnl_roll3,0.11626963010389285
total_volume,0.10943673566701086
avg_leverage,0.0701799906573432
win_rate_roll3,0.06617121882469412
trade_count_roll3,0.06521653950112989
avg_trade_size,0.06195359737306752
total_fees,0.06103846230435466
fear_greed_value_roll3,0.060712987749888876
trade_count,0.05779955675265862
pnl_std,0.05064630200571
win_rate,0.04847848582624042
fear_greed_value,0.04670668450901741
daily_pnl_lag1,0.046651041309972864
pnl_std_lag1,0.0403499936340556
close_ratio,0.03811439071573442
win_rate_lag1,0.031770417502837905
long_ratio,0.028503965562390765
